ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,여우,1,NAVER,1,"'벌새', 한국영화제작가협회상 작품상...감독상 '기생충' 봉준호",http://www.newsis.com/view/?id=NISX20191205_0000851553&cID=10603&pID=10600
ENTERPRISE,여우,1,NAVER,2,디스커버리·블루독 등 아동용 겨울점퍼 천연모서 발암물질 초과 검출,http://www.newspim.com/news/view/20191204000894
ENTERPRISE,여우,1,DAUM,1,반려인에게 돌아간 북극여우는 행복할까,http://v.media.daum.net/v/20191130113601245
ENTERPRISE,여우,1,DAUM,2,"'99억의 여자' 조여정, 청룡 여우주연상 '짝사랑' 소감 뒷이야기※",http://v.media.daum.net/v/20191203213503839
ENTERPRISE,여우,1,Google,1,"청주동물원 ""알락꼬리여우원숭이 3마리 새 가족 됐어요""",https://www.yna.co.kr/view/AKR20191202160200064
ENTERPRISE,여우,1,Google,2,'신문기자' 심은경 日영화제서 신인여우상,https://www.asiae.co.kr/article/2019112817460603048
