ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,미국,1,NAVER,1,"""객실 성매매 알고도 외면했다""…유명 호텔업체들 미국서 피소",https://news.sbs.co.kr/news/endPage.do?news_id=N1005561277&plink=ORI&cooper=NAVER
ENTERPRISE,미국,1,NAVER,2,[속보] 北 “미국이 갈 길 결심 내리게 했다… 더 잃을 것 없어”,http://news.kmib.co.kr/article/view.asp?arcid=0014026036&code=61111611&cp=nv
ENTERPRISE,미국,1,DAUM,1,"네슬레, 하겐다즈 등 미국 아이스크림 사업 매각",http://v.media.daum.net/v/20191212152119816
ENTERPRISE,미국,1,DAUM,2,"임성재 안병훈, 첫날 나란히 승리..미국팀, 우즈만 승리",http://v.media.daum.net/v/20191212173317481
ENTERPRISE,미국,1,Google,1,"미국, 안보리에 북한 미사일 발사 등 논의 요청...11일 개최",https://www.voakorea.com/a/5199048.html
ENTERPRISE,미국,1,Google,2,잃을 게 없다는 북한에 잃을 게 뭔지 보여주겠다는 미국,https://news.joins.com/article/23653872
