ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,치킨,1,NAVER,1,퓨전밴드 ‘치킨카레’가 들려주는 OST 재즈,http://www.jndn.com/article.php?aid=1575787426291621115
ENTERPRISE,치킨,1,NAVER,2,로봇이 치킨 서빙하고 편의점서 세탁서비스… 진화 거듭하는 ‘편리미엄’ 트...,http://www.segye.com/content/html/2019/12/08/20191208507742.html?OutUrl=naver
ENTERPRISE,치킨,1,NAVER,3,리브메이트 오늘의 퀴즈 '후라이드치킨 vs 프라이드치킨',http://www.kjdaily.com/read.php3?aid=1575811465493082208
ENTERPRISE,치킨,1,NAVER,4,멕시카나치킨 먹고 KBS가요대축제 보러가자!,http://moneys.mt.co.kr/news/mwView.php?no=2019120523388085116
ENTERPRISE,치킨,1,NAVER,5,"[최신혜의 외식하는날]""'평범함'으로는 모자라""…특화매장 내는 치킨 프랜차이...",https://view.asiae.co.kr/article/2019120820180485578
ENTERPRISE,치킨,1,NAVER,6,치킨 먹을 때 '닭날개'부터 먹는 남친은 사람들에게 사랑받는 '인기남'이다,https://www.insight.co.kr/news/256879
ENTERPRISE,치킨,1,NAVER,7,"교촌치킨, '교촌치즈볼' 출시·'교촌닭갈비볶음밥' 확대 판매",http://www.busan.com/view/busan/view.php?code=2019120817264970580
ENTERPRISE,치킨,1,NAVER,8,"시타오 미우, 양념 치킨을 즐기는 요정",http://nc.asiae.co.kr/view.htm?idxno=2019120820130566805
ENTERPRISE,치킨,1,NAVER,9,김세정 “전생에 치킨 만들었나”…아이유의 커버곡 칭찬에 대감격,http://www.segye.com/content/html/2019/12/08/20191208507672.html?OutUrl=naver
ENTERPRISE,치킨,1,NAVER,10,'치킨' 매일 먹어도 건강에 전혀 나쁘지 않다는 5가지 신체 신호,https://www.insight.co.kr/news/248348
ENTERPRISE,치킨,1,DAUM,1,"이원일, '치킨로드' 최종회 빛낸 창의적 치킨 레시피",http://v.media.daum.net/v/20191204113905647
ENTERPRISE,치킨,1,DAUM,2,외식업 위협하는 편의점 피자·조각치킨,http://v.media.daum.net/v/20191206111328227
ENTERPRISE,치킨,1,DAUM,3,"'양식의 양식' 백종원 ""가장 맛있는 치킨? 인도네시아 치킨""",http://v.media.daum.net/v/20191201171803041
ENTERPRISE,치킨,1,DAUM,4,"'치킨로드' 최종회, 세상에 없던 치킨 맛의 탄생 [채널예약]",http://v.media.daum.net/v/20191203115436642
ENTERPRISE,치킨,1,DAUM,5,"'치킨로드' 오늘(3일) 최종회, 불꽃 튀는 치킨 레시피 대결 결과는?",http://v.media.daum.net/v/20191203113637771
ENTERPRISE,치킨,1,DAUM,6,멕시카나치킨 먹고 KBS가요대축제 보러가자!,http://v.media.daum.net/v/20191208194456415
ENTERPRISE,치킨,1,DAUM,7,대구에서 걸작떡볶이치킨을 만나보자!,http://v.media.daum.net/v/20191204174504590
ENTERPRISE,치킨,1,DAUM,8,"bhc치킨, 출시 한 달 맞은 '블랙올리브' 새로운 트렌드 주도",http://v.media.daum.net/v/20191206204400738
ENTERPRISE,치킨,1,DAUM,9,"60계치킨, 하림과 상생협약 MOU체결로 치킨업계 새로운 바람 기대",http://v.media.daum.net/v/20191204143141919
ENTERPRISE,치킨,1,DAUM,10,"'양식의 양식' 첫 방, 치킨의 치킨에 의한 치킨을 위한 A-Z",http://v.media.daum.net/v/20191202073800412
ENTERPRISE,치킨,1,Google,1,배달 치킨 만족도 1위는? 관록의 페리카나,https://news.joins.com/article/23651906
ENTERPRISE,치킨,1,Google,2,"프랜차이즈 치킨 배달, 맛은 좋지만 가격과 가성비는 낮아",https://www.beinews.net/news/articleView.html?idxno=29509
ENTERPRISE,치킨,1,Google,3,소비자원 “치킨 배달 서비스 만족도 1위는 페리카나”,https://biz.chosun.com/site/data/html_dir/2019/12/09/2019120900933.html
ENTERPRISE,치킨,1,Google,4,"'양식의 양식' 백종원 ""인도네시아 치킨이 가장 맛있었다""",http://honam.co.kr/article.php?aid=1575206329603645016
ENTERPRISE,치킨,1,Google,5,"소비자들 ""프랜차이즈 치킨 맛있지만 비싸다""",http://news1.kr/articles/?3788016
ENTERPRISE,치킨,1,Google,6,'치킨 배달' 소비자 불만 1위 '주문·배달오류',http://www.womancs.co.kr/news/articleView.html?idxno=56070
ENTERPRISE,치킨,1,Google,7,"소비자원 ""프랜차이즈 치킨 만족도 1위 페리카나, 꼴찌 교촌치킨""",http://imnews.imbc.com/news/2019/econo/article/5636570_24684.html
ENTERPRISE,치킨,1,Google,8,'치느님 2만원 시대' 프랜차이즈 치킨 종합만족도 순위 살펴보니,http://www.00news.co.kr/news/articleView.html?idxno=60385
ENTERPRISE,치킨,1,Google,9,"치킨, 소비자 만족도 페리카나 1위·교촌 최하위",http://www.munhwa.com/news/view.html?no=2019120901072221086001
ENTERPRISE,치킨,1,Google,10,"페리카나, 치킨 프랜차이즈 소비자 만족도 1위…교촌 꼴찌 '불명예'",http://www.epnnews.com/news/articleView.html?idxno=3344
