ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,감자,1,NAVER,1,"휴젤, 80만주 감자 완료",http://www.newspim.com/news/view/20191210001175
ENTERPRISE,감자,1,NAVER,2,"청년, 감자탕, 돈[2030 세상/도진수]",http://www.donga.com/news/article/all/20191210/98728966/1
ENTERPRISE,감자,1,DAUM,1,"‘공급과잉’ 감자, 가격 반 토막...“산지 폐기 가능성”",https://cp.news.search.daum.net/p/87340425
ENTERPRISE,감자,1,DAUM,2,"구혜선, 반려견 '감자'와 함께 앙증 윙크 셀카 공개..""청순미 뿜뿜""",http://v.media.daum.net/v/20191209163619865
ENTERPRISE,감자,1,Google,1,"수원시농기센터, 16일까지 '벼·감자 우량 보급 종자' 신청 접수",http://www.iloveorganic.co.kr/news/articleView.html?idxno=234648
ENTERPRISE,감자,1,Google,2,"영천시, 2020년 벼·감자 보급종 신청 받아벼 75.5톤, 감자 8톤 공급",http://www.iloveorganic.co.kr/news/articleView.html?idxno=234505
